Id,MSSubClass,Street,Utilities,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Bedroom,Kitchen,KitchenQuality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
21,60,Pave,AllPub,Corner,NridgHt,2Story,8,5,2005,2006,Gable,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,RFn,3,853,11,2006,New,Partial,325300
22,45,Pave,AllPub,Inside,IDOTRR,1.5Unf,7,7,1930,1950,Gable,3,1,Gd,6,Typ,1,Gd,Attchd,1930,Unf,1,280,6,2007,WD,Normal,139400
23,20,Pave,AllPub,Inside,CollgCr,1Story,8,5,2002,2002,Hip,3,1,Gd,7,Typ,1,Gd,Attchd,2002,RFn,2,534,9,2008,WD,Normal,230000
24,120,Pave,AllPub,Inside,MeadowV,1Story,5,7,1976,1976,Gable,3,1,TA,6,Typ,1,TA,Attchd,1976,Unf,2,572,6,2007,WD,Normal,129900
25,20,Pave,AllPub,Inside,Sawyer,1Story,5,8,1968,2001,Gable,3,1,Gd,6,Typ,1,TA,Attchd,1968,Unf,1,270,5,2010,WD,Normal,154000
26,20,Pave,AllPub,Corner,NridgHt,1Story,8,5,2007,2007,Gable,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,890,7,2009,WD,Normal,256300
27,20,Pave,AllPub,Corner,NAmes,1Story,5,7,1951,2000,Gable,3,1,Gd,5,Typ,0,NA,Detchd,2005,Unf,2,576,5,2010,WD,Normal,134800
28,20,Pave,AllPub,Inside,NridgHt,1Story,8,5,2007,2008,Gable,3,1,Gd,7,Typ,1,Gd,Attchd,2008,RFn,3,772,5,2010,WD,Normal,306000
29,20,Pave,AllPub,CulDSac,NAmes,1Story,5,6,1957,1997,Gable,2,1,TA,6,Typ,2,Gd,Attchd,1957,RFn,1,319,12,2006,WD,Normal,207500
30,30,Pave,AllPub,Inside,BrkSide,1Story,4,6,1927,1950,Gable,1,1,Fa,4,Typ,0,NA,Detchd,1920,Unf,1,240,5,2008,WD,Normal,68500
31,70,Pave,AllPub,Inside,IDOTRR,2Story,4,4,1920,1950,Gambrel,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,250,7,2008,WD,Normal,40000
32,20,Pave,AllPub,CulDSac,Sawyer,1Story,5,6,1966,2006,Gable,3,1,Gd,6,Typ,0,NA,Attchd,1966,Unf,1,271,6,2008,WD,Normal,149350
33,20,Pave,AllPub,Corner,CollgCr,1Story,8,5,2007,2007,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2007,RFn,2,484,1,2008,WD,Normal,179900
34,20,Pave,AllPub,Inside,NAmes,1Story,5,5,1959,1959,Hip,4,1,Gd,6,Typ,1,Gd,Attchd,1959,RFn,2,447,4,2010,WD,Normal,165500
35,120,Pave,AllPub,Inside,NridgHt,1Story,9,5,2005,2005,Hip,2,1,Ex,6,Typ,1,Gd,Attchd,2005,Fin,2,556,8,2007,WD,Normal,277500
36,60,Pave,AllPub,Inside,NridgHt,2Story,8,5,2004,2005,Gable,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,Fin,3,691,9,2006,WD,Normal,309000
37,20,Pave,AllPub,Corner,CollgCr,1Story,5,5,1994,1995,Gable,3,1,TA,6,Typ,0,NA,Attchd,1995,Unf,2,672,6,2009,WD,Normal,145000
38,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1954,1990,Hip,3,1,TA,5,Typ,1,TA,Attchd,1954,Fin,2,498,10,2009,WD,Normal,153000
39,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1953,2007,Gable,3,1,Gd,5,Typ,0,NA,Detchd,1953,Unf,1,246,1,2010,WD,Abnorml,109000
40,90,Pave,AllPub,Inside,Edwards,1Story,4,5,1955,1955,Gable,2,2,Fa,6,Typ,0,NA,NA,NA,NA,0,0,6,2008,WD,AdjLand,82000
41,20,Pave,AllPub,Inside,NAmes,1Story,6,5,1965,1965,Gable,3,1,TA,6,Typ,1,TA,Attchd,1965,RFn,2,440,12,2006,WD,Abnorml,160000
42,20,Pave,AllPub,Inside,Timber,1Story,5,6,1959,1959,Gable,2,1,TA,5,Typ,2,Gd,Attchd,1959,RFn,1,308,7,2007,WD,Normal,170000
43,85,Pave,AllPub,CulDSac,SawyerW,SFoyer,5,7,1983,1983,Gable,2,1,Gd,5,Typ,0,NA,Attchd,1983,RFn,2,504,12,2007,WD,Normal,144000
44,20,Pave,AllPub,CulDSac,CollgCr,1Story,5,6,1975,1980,Hip,3,1,TA,5,Typ,0,NA,Detchd,1977,Unf,1,308,7,2008,WD,Normal,130250
45,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1959,1959,Gable,3,1,TA,6,Typ,0,NA,Attchd,1959,RFn,1,300,5,2006,WD,Normal,141000
46,120,Pave,AllPub,Inside,NridgHt,1Story,9,5,2005,2005,Hip,2,1,Ex,6,Typ,1,Gd,Attchd,2005,RFn,2,576,2,2010,WD,Normal,319900
47,50,Pave,AllPub,CulDSac,Mitchel,1.5Fin,7,5,2003,2003,Gable,1,1,Gd,6,Typ,1,Ex,Attchd,2003,RFn,2,670,8,2009,WD,Abnorml,239686
48,20,Pave,AllPub,Inside,Somerst,1Story,8,5,2006,2006,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2006,RFn,3,826,7,2007,WD,Normal,249700
49,190,Pave,AllPub,Inside,OldTown,2Story,4,5,1920,2008,Gable,2,3,TA,8,Typ,0,NA,NA,NA,NA,0,0,6,2009,New,Partial,113000
50,20,Pave,AllPub,Inside,Sawyer,1Story,5,7,1966,1966,Gable,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,1,386,1,2007,WD,Normal,127000
51,60,Pave,AllPub,Corner,Gilbert,2Story,6,6,1997,1997,Gable,3,1,TA,6,Typ,0,NA,Attchd,1997,Fin,2,388,7,2007,WD,Normal,177000
52,50,Pave,AllPub,Inside,BrkSide,1.5Fin,6,6,1934,1950,Gable,3,1,TA,6,Typ,1,Gd,Detchd,1985,Unf,2,528,9,2006,WD,Normal,114500
53,90,Grvl,AllPub,Corner,IDOTRR,1Story,5,5,1963,1963,Gable,2,1,TA,5,Typ,0,NA,CarPort,1963,Unf,2,516,5,2010,WD,Normal,110000
54,20,Pave,AllPub,Inside,Veenker,1Story,9,5,1981,1987,Gable,0,1,Gd,5,Typ,1,Gd,Attchd,1981,Fin,3,894,11,2006,WD,Normal,385000
55,80,Pave,AllPub,Inside,NAmes,SLvl,5,5,1955,1955,Gable,3,1,TA,6,Min1,1,TA,Detchd,1962,Unf,2,572,2,2007,WD,Normal,130000
56,20,Pave,AllPub,Inside,NAmes,1Story,6,5,1964,1964,Gable,3,1,TA,7,Typ,1,Gd,Attchd,1964,RFn,2,576,7,2008,WD,Normal,180500
57,160,Pave,AllPub,Inside,Somerst,2Story,8,5,1999,2000,Gable,3,1,Gd,7,Typ,0,NA,Attchd,1999,Fin,2,480,8,2009,WD,Abnorml,172500
58,60,Pave,AllPub,Corner,CollgCr,2Story,7,5,2004,2004,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2004,RFn,2,565,8,2006,WD,Normal,196500
59,60,Pave,AllPub,CulDSac,StoneBr,2Story,10,5,2006,2006,Hip,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006,Fin,3,641,10,2006,New,Partial,438780
60,20,Pave,AllPub,Inside,CollgCr,1Story,5,7,1972,1972,Gable,2,1,TA,4,Typ,0,NA,Detchd,1973,Unf,1,352,1,2008,WD,Normal,124900
61,20,Pave,AllPub,Inside,SawyerW,1Story,6,5,2004,2004,Gable,3,1,Gd,5,Typ,0,NA,Detchd,2006,Unf,2,576,5,2006,New,Partial,158000
62,75,Pave,AllPub,Inside,IDOTRR,2.5Unf,5,7,1920,1996,Gable,3,1,Fa,6,Typ,0,NA,Detchd,1935,Unf,1,288,3,2007,WD,Normal,101000
63,120,Pave,AllPub,Inside,NridgHt,1Story,8,5,2006,2006,Gable,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,484,10,2007,WD,Normal,202500
64,70,Pave,AllPub,Inside,OldTown,2Story,7,6,1921,1950,Gable,3,1,TA,9,Typ,0,NA,Detchd,1990,Unf,2,480,4,2010,WD,Normal,140000
65,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,1997,1998,Gable,3,1,Gd,8,Typ,0,NA,Attchd,1998,RFn,2,645,2,2009,WD,Normal,219500
66,60,Pave,AllPub,Inside,NridgHt,2Story,8,5,2004,2005,Gable,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004,RFn,3,852,10,2007,WD,Normal,317000
67,20,Pave,AllPub,Inside,NAmes,1Story,7,5,1970,1989,Gable,3,1,TA,7,Min1,1,Gd,Attchd,1970,RFn,2,576,7,2010,WD,Normal,180000
68,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,2003,2003,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2003,RFn,2,558,6,2007,WD,Normal,226000
69,30,Pave,AllPub,Corner,OldTown,1Story,4,6,1945,1950,Gable,2,1,TA,4,Typ,0,NA,Attchd,1945,Unf,1,220,6,2010,WD,Normal,80000
70,50,Pave,AllPub,Corner,ClearCr,1.5Fin,7,4,1953,1953,Gable,3,1,TA,7,Typ,1,TA,Attchd,1953,Fin,2,667,7,2006,WD,Normal,225000
71,20,Pave,AllPub,Inside,NAmes,1Story,7,6,1973,1973,Gable,3,1,TA,8,Typ,2,Gd,Attchd,1973,Fin,2,516,2,2007,WD,Normal,244000
72,20,Pave,AllPub,Corner,Mitchel,1Story,4,6,1982,2006,Gable,2,1,TA,4,Typ,0,NA,Detchd,1987,Unf,2,360,6,2007,WD,Normal,129500
73,60,Pave,AllPub,Corner,Gilbert,2Story,7,5,1998,1998,Gable,3,1,TA,7,Typ,1,TA,Attchd,1998,Fin,2,427,12,2009,WD,Normal,185000
74,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1954,2003,Gable,3,1,TA,6,Typ,0,NA,Attchd,1989,Unf,2,490,5,2010,WD,Normal,144900
75,50,Pave,AllPub,Corner,OldTown,2Story,3,6,1915,1950,Gambrel,3,2,TA,8,Typ,0,NA,Detchd,1915,Unf,1,379,5,2010,WD,Normal,107400
76,180,Pave,AllPub,Inside,MeadowV,SLvl,4,5,1973,1973,Gable,2,1,TA,5,Typ,0,NA,BuiltIn,1973,Unf,1,297,11,2009,WD,Normal,91000
77,20,Pave,AllPub,Inside,NAmes,1Story,4,7,1956,1956,Gable,2,1,TA,4,Typ,0,NA,Detchd,1956,Unf,1,283,4,2008,WD,Normal,135750
78,50,Pave,AllPub,Inside,BrkSide,1.5Fin,5,5,1948,2001,Gable,2,1,TA,6,Min1,0,NA,Detchd,1948,Unf,1,240,1,2008,WD,Normal,127000
79,90,Pave,AllPub,Inside,Sawyer,1Story,4,5,1968,1968,Hip,4,2,TA,8,Typ,0,NA,NA,NA,NA,0,0,4,2010,WD,Normal,136500
80,50,Pave,AllPub,Corner,OldTown,2Story,5,6,1910,1981,Gable,2,1,TA,5,Typ,0,NA,Detchd,1966,Unf,2,440,5,2009,WD,Normal,110000
81,60,Pave,AllPub,Corner,NAmes,2Story,6,6,1968,1968,Gable,4,1,Gd,8,Typ,1,Gd,Attchd,1968,Fin,1,509,6,2009,WD,Normal,193500
82,120,Pave,AllPub,FR2,Mitchel,1Story,6,5,1998,1998,Hip,2,1,TA,5,Typ,0,NA,Attchd,1998,Fin,2,405,3,2006,WD,Normal,153500
83,20,Pave,AllPub,Inside,Somerst,1Story,8,5,2007,2007,Gable,3,1,Gd,6,Typ,1,Gd,Attchd,2007,RFn,3,758,10,2008,WD,Normal,245000
84,20,Pave,AllPub,Inside,NAmes,1Story,5,5,1960,1960,Gable,3,1,TA,6,Typ,0,NA,Detchd,1974,Unf,2,461,7,2007,COD,Normal,126500
85,80,Pave,AllPub,Inside,Gilbert,SLvl,7,5,1995,1996,Gable,3,1,TA,7,Typ,1,TA,BuiltIn,1995,Fin,2,400,5,2009,WD,Normal,168500
86,60,Pave,AllPub,Corner,NoRidge,2Story,8,5,1991,1992,Hip,4,1,Gd,9,Typ,1,TA,Attchd,1991,Unf,2,462,4,2006,WD,Normal,260000
87,60,Pave,AllPub,Inside,Gilbert,2Story,6,5,2005,2005,Gable,3,1,Gd,6,Typ,1,Gd,BuiltIn,2005,Fin,2,400,3,2009,WD,Normal,174000
88,160,Pave,AllPub,Corner,Somerst,2Story,6,5,2009,2009,Gable,2,1,Gd,4,Typ,0,NA,Detchd,2009,RFn,2,528,6,2009,New,Partial,164500
89,50,Pave,AllPub,Corner,IDOTRR,1.5Fin,3,2,1915,1982,Hip,2,1,Fa,6,Typ,0,NA,NA,NA,NA,0,0,10,2009,ConLD,Abnorml,85000
90,20,Pave,AllPub,Inside,CollgCr,1Story,4,5,1994,1995,Gable,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,8,2007,WD,Normal,123600
91,20,Pave,AllPub,Inside,NAmes,1Story,4,5,1950,1950,Gable,2,1,TA,4,Typ,0,NA,Detchd,1950,Unf,2,420,7,2006,WD,Normal,109900
92,20,Pave,AllPub,Inside,NAmes,1Story,5,3,1961,1961,Hip,2,1,TA,6,Typ,0,NA,Attchd,1961,Unf,2,480,12,2006,WD,Abnorml,98600
93,30,Pave,AllPub,Inside,Crawfor,1Story,5,7,1921,2006,Gable,2,1,TA,5,Typ,0,NA,Detchd,1921,Unf,2,432,8,2009,WD,Normal,163500
94,190,Pave,AllPub,Corner,OldTown,2.5Unf,6,6,1910,1998,Hip,4,2,TA,9,Typ,1,Gd,Detchd,1900,Unf,2,506,11,2007,WD,Normal,133900
95,60,Pave,AllPub,Inside,CollgCr,2Story,6,5,1997,1997,Gable,3,1,Gd,7,Typ,0,NA,Attchd,1997,RFn,2,684,5,2007,WD,Normal,204750
96,60,Pave,AllPub,Corner,Gilbert,2Story,6,8,1993,1993,Gable,3,1,TA,6,Typ,1,TA,BuiltIn,1993,Fin,2,420,4,2009,WD,Normal,185000
97,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,1999,1999,Gable,3,1,Gd,6,Typ,0,NA,Attchd,1999,RFn,2,472,8,2006,WD,Normal,214000
98,20,Pave,AllPub,Inside,Edwards,1Story,4,5,1965,1965,Hip,3,1,TA,6,Typ,0,NA,Attchd,1965,Fin,1,432,5,2007,WD,Normal,94750
99,30,Pave,AllPub,Corner,Edwards,1Story,5,5,1920,1950,Gable,2,1,TA,5,Typ,0,NA,Basment,1920,Unf,1,366,5,2010,COD,Abnorml,83000
100,20,Pave,AllPub,Inside,NAmes,1Story,4,5,1959,1959,Gable,3,1,TA,6,Typ,0,NA,NA,NA,NA,0,0,1,2010,WD,Normal,128950
101,20,Pave,AllPub,Inside,NWAmes,1Story,6,7,1977,2001,Gable,3,1,Gd,6,Typ,2,TA,Attchd,1977,RFn,2,480,2,2010,WD,Normal,205000
102,60,Pave,AllPub,Inside,SawyerW,2Story,6,5,1985,1985,Gable,3,1,Gd,7,Typ,1,TA,Attchd,1985,Fin,2,476,6,2010,WD,Normal,178000
103,90,Pave,AllPub,Inside,SawyerW,1Story,5,5,1979,1979,Gable,4,2,TA,8,Typ,0,NA,Attchd,1979,Unf,2,410,6,2009,WD,Alloca,118964
104,20,Pave,AllPub,Corner,CollgCr,1Story,7,5,2009,2009,Gable,3,1,Gd,6,Typ,0,NA,Attchd,2009,RFn,3,740,5,2010,WD,Normal,198900
105,50,Pave,AllPub,Corner,IDOTRR,1.5Fin,7,4,1931,1950,Gable,4,1,TA,7,Typ,2,TA,Detchd,1951,Unf,1,240,6,2007,WD,Normal,169500
106,60,Pave,AllPub,Inside,Somerst,2Story,8,5,2003,2004,Hip,3,1,Gd,9,Typ,1,Gd,Attchd,2003,RFn,2,648,8,2008,WD,Normal,250000
107,30,Pave,AllPub,Inside,OldTown,1Story,4,7,1885,1995,Mansard,2,1,TA,6,Typ,0,NA,Detchd,1954,Unf,1,273,8,2007,WD,Normal,100000
108,20,Pave,AllPub,Inside,OldTown,1Story,5,5,1948,1950,Gable,2,1,TA,5,Typ,0,NA,Detchd,1948,Unf,1,250,4,2008,WD,Partial,115000
109,50,Pave,AllPub,Corner,IDOTRR,1.5Fin,5,7,1919,2005,Gable,3,1,Fa,7,Typ,0,NA,NA,NA,NA,0,0,8,2007,WD,Normal,115000
110,20,Pave,AllPub,Inside,NWAmes,1Story,6,6,1977,1977,Hip,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,546,1,2010,COD,Normal,190000
111,50,Pave,AllPub,Inside,Edwards,1.5Fin,6,4,1954,1972,Gable,4,1,TA,7,Typ,0,NA,Attchd,1954,Unf,1,325,10,2006,WD,Normal,136900
112,80,Pave,AllPub,Inside,Gilbert,SLvl,7,5,2000,2000,Gable,3,1,TA,7,Typ,1,TA,BuiltIn,2000,Fin,2,400,4,2010,WD,Normal,180000
113,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,2007,2007,Gable,4,1,Ex,10,Typ,1,Gd,BuiltIn,2007,Fin,3,792,10,2007,New,Partial,383970
114,20,Pave,AllPub,Corner,Crawfor,1Story,6,5,1953,1953,Hip,3,1,Gd,7,Typ,2,Gd,Basment,1953,Unf,2,450,10,2007,COD,Abnorml,217000
115,70,Pave,AllPub,Inside,Crawfor,2Story,6,8,1945,2002,Gambrel,3,1,Gd,9,Typ,1,TA,Detchd,1945,Unf,1,180,7,2007,WD,Normal,259500
116,160,Pave,AllPub,Corner,Somerst,2Story,6,5,1999,1999,Gable,2,1,TA,5,Typ,1,Fa,Detchd,1999,Unf,2,440,6,2007,WD,Normal,176000
117,20,Pave,AllPub,Inside,Sawyer,1Story,5,5,1962,1962,Gable,3,1,TA,6,Typ,1,Po,Attchd,1962,Unf,1,288,9,2009,WD,Normal,139000
118,20,Pave,AllPub,Corner,Edwards,1Story,5,5,2006,2007,Gable,2,1,TA,5,Typ,0,NA,Attchd,2007,Unf,2,430,4,2007,New,Partial,155000
119,60,Pave,AllPub,Corner,SawyerW,2Story,7,5,1990,1990,Hip,5,1,Gd,11,Typ,2,TA,Attchd,1990,Unf,3,594,5,2010,WD,Normal,320000
120,60,Pave,AllPub,Inside,CollgCr,2Story,6,5,2005,2006,Gable,3,1,Gd,8,Typ,1,Gd,Attchd,2005,Fin,2,390,7,2006,New,Partial,163990
121,80,Pave,AllPub,CulDSac,ClearCr,SLvl,6,5,1969,1969,Flat,1,1,TA,4,Typ,2,TA,Attchd,1969,Unf,2,540,10,2006,WD,Normal,180000
122,50,Pave,AllPub,Inside,IDOTRR,1.5Fin,4,5,1939,1950,Gable,3,1,TA,4,Typ,0,NA,Detchd,1979,Unf,1,264,6,2007,WD,Normal,100000
123,20,Pave,AllPub,Corner,NAmes,1Story,6,7,1958,1958,Hip,3,1,TA,5,Typ,0,NA,Attchd,1958,Unf,1,288,6,2008,WD,Normal,136000
124,120,Pave,AllPub,Inside,SawyerW,1Story,6,5,1993,1993,Gable,2,1,Gd,5,Typ,0,NA,Attchd,1993,RFn,2,530,3,2008,WD,Normal,153900
125,20,Pave,AllPub,CulDSac,NWAmes,1Story,6,5,1979,1998,Gable,3,1,TA,7,Typ,1,TA,Attchd,1979,Unf,2,435,1,2009,WD,Normal,181000
126,190,Pave,AllPub,Inside,IDOTRR,1.5Fin,6,8,1935,1982,Gable,2,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,6,2006,WD,Normal,84500
127,120,Pave,AllPub,Inside,NPkVill,1Story,6,5,1976,1976,Gable,2,1,TA,5,Typ,1,TA,Attchd,1977,RFn,2,440,2,2007,WD,Normal,128000
128,45,Pave,AllPub,Inside,OldTown,1.5Unf,5,7,1930,1950,Gable,3,1,TA,5,Typ,1,TA,NA,NA,NA,0,0,6,2007,WD,Normal,87000
129,60,Pave,AllPub,Inside,NAmes,2Story,6,5,1966,1966,Gable,3,1,TA,6,Typ,1,Fa,Attchd,1966,RFn,2,453,7,2006,WD,Normal,155000
130,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1958,1991,Gable,3,1,Ex,6,Typ,0,NA,2Types,1998,RFn,2,750,7,2006,WD,Abnorml,150000
131,60,Pave,AllPub,Corner,NAmes,2Story,7,6,1966,1966,Gable,4,1,Gd,8,Typ,2,Gd,Attchd,1966,Fin,2,487,5,2006,WD,Normal,226000
132,60,Pave,AllPub,Corner,Gilbert,2Story,6,5,2000,2000,Gable,3,1,Gd,7,Typ,1,TA,BuiltIn,2000,RFn,2,390,7,2009,WD,Normal,244000
133,20,Pave,AllPub,Corner,NAmes,1Story,5,6,1959,2002,Gable,3,1,Gd,7,Typ,0,NA,Detchd,1974,Unf,2,624,7,2007,WD,Normal,150750
134,20,Pave,AllPub,Inside,Timber,1Story,8,5,2001,2002,Gable,2,1,Gd,6,Typ,0,NA,Attchd,2001,Fin,2,471,6,2009,WD,Normal,220000
135,20,Pave,AllPub,Inside,Sawyer,1Story,5,6,1968,1993,Gable,3,1,TA,7,Min1,1,TA,Attchd,1968,RFn,2,440,7,2006,WD,Normal,180000
136,20,Pave,AllPub,Inside,NWAmes,1Story,7,6,1970,1970,Hip,3,1,TA,7,Typ,1,Gd,Attchd,1970,Unf,2,530,5,2008,WD,Normal,174000
137,20,Pave,AllPub,Corner,NAmes,1Story,5,5,1967,1967,Gable,3,1,TA,5,Typ,1,Fa,Attchd,1967,RFn,1,318,7,2007,WD,Normal,143000
138,90,Pave,AllPub,Inside,Mitchel,1Story,7,5,1988,1989,Gable,5,2,TA,9,Typ,0,NA,2Types,1989,Unf,3,766,7,2006,WD,Family,171000
139,60,Pave,AllPub,Inside,CollgCr,2Story,8,5,1999,2000,Gable,3,1,Gd,7,Typ,2,TA,Attchd,1999,Fin,3,660,12,2008,WD,Normal,230000
140,60,Pave,AllPub,Inside,CollgCr,2Story,6,5,1997,1997,Gable,3,1,Gd,7,Typ,0,NA,Attchd,1997,RFn,2,470,8,2009,WD,Normal,231500
141,20,Pave,AllPub,FR2,NAmes,1Story,4,5,1971,1971,Gable,3,1,TA,5,Typ,1,Po,NA,NA,NA,0,0,4,2010,ConLI,Normal,115000
142,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,2005,2005,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2005,Fin,2,660,1,2006,WD,Normal,260000
143,50,Pave,AllPub,Corner,NAmes,1.5Fin,5,4,1952,1952,Gable,4,1,TA,6,Typ,0,NA,Detchd,2000,Unf,2,720,6,2010,WD,Normal,166000
144,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,1999,1999,Gable,3,1,Gd,6,Typ,0,NA,Attchd,1999,RFn,2,577,6,2009,WD,Normal,204000
145,90,Pave,AllPub,Inside,Sawyer,1Story,5,5,1963,1963,Gable,6,2,TA,10,Typ,0,NA,Detchd,1963,Unf,2,504,11,2006,ConLI,Abnorml,125000
146,160,Pave,AllPub,Inside,Edwards,2Story,6,5,2004,2006,Gable,3,1,Gd,7,Maj1,0,NA,Detchd,2004,Unf,2,380,4,2006,WD,Normal,130000
147,30,Pave,AllPub,Corner,BrkSide,1Story,5,7,1931,1993,Gable,2,1,TA,5,Typ,0,NA,Detchd,1931,Unf,1,180,11,2009,WD,Normal,105000
148,60,Pave,AllPub,CulDSac,Gilbert,2Story,7,5,2001,2001,Gable,3,1,Gd,8,Typ,1,Gd,BuiltIn,2001,Fin,2,434,5,2010,WD,Normal,222500
149,20,Pave,AllPub,Inside,SawyerW,1Story,7,5,2004,2005,Gable,3,1,Gd,6,Typ,0,NA,NA,NA,NA,0,0,4,2008,WD,Normal,141000
